index,MODEL,RESIDUAL MODEL,INPUTS,BEST LAG,R2 OSA TRAIN,R2 FS TRAIN,RMSE OSA TRAIN,RMSE FS TRAIN,R2 OSA TOTAL,R2 FS TOTAL,RMSE OSA TOTAL,RMSE FS TOTAL,TIME MEAN
514,GradientBoosting,KNN,MISO+residuals,19,0.975,0.767,0.041,0.127,0.914,0.759,0.08,0.134,2.521
515,GradientBoosting,DecisionTree,MISO+residuals,19,0.975,0.766,0.041,0.128,0.914,0.758,0.08,0.134,2.521
511,GradientBoosting,LinReg,MISO+residuals,19,0.976,0.769,0.041,0.127,0.914,0.758,0.08,0.134,2.526
516,GradientBoosting,RandomForest,MISO+residuals,19,0.976,0.766,0.041,0.128,0.915,0.758,0.08,0.134,2.588
519,GradientBoosting,MLP,MISO+residuals,19,0.975,0.764,0.042,0.128,0.914,0.757,0.08,0.135,2.362
517,GradientBoosting,GradientBoosting,MISO+residuals,19,0.975,0.764,0.042,0.128,0.914,0.757,0.08,0.135,0.973
518,GradientBoosting,ExtraTrees,MISO+residuals,19,0.975,0.764,0.042,0.128,0.914,0.757,0.08,0.135,0.584
513,GradientBoosting,SVM,MISO+residuals,19,0.971,0.761,0.045,0.129,0.909,0.753,0.082,0.136,2.522
421,GradientBoosting,LinReg,MISO+residuals,12,0.932,0.771,0.069,0.126,0.883,0.743,0.094,0.139,0.714
537,MLP,GradientBoosting,MISO+residuals,19,0.945,0.754,0.062,0.131,0.889,0.739,0.091,0.14,6.214
425,GradientBoosting,DecisionTree,MISO+residuals,12,0.931,0.765,0.069,0.128,0.884,0.739,0.093,0.14,0.709
428,GradientBoosting,ExtraTrees,MISO+residuals,12,0.931,0.764,0.07,0.128,0.882,0.738,0.094,0.14,0.725
424,GradientBoosting,KNN,MISO+residuals,12,0.93,0.764,0.07,0.128,0.882,0.737,0.094,0.14,0.709
426,GradientBoosting,RandomForest,MISO+residuals,12,0.932,0.762,0.069,0.129,0.884,0.736,0.093,0.141,0.774
177,MLP,GradientBoosting,MISO+residuals,5,0.92,0.761,0.075,0.129,0.86,0.735,0.102,0.141,1.079
423,GradientBoosting,SVM,MISO+residuals,12,0.928,0.76,0.071,0.129,0.881,0.735,0.094,0.141,0.71
601,GradientBoosting,LinReg,MISO+residuals,20,0.932,0.753,0.069,0.131,0.882,0.734,0.094,0.141,0.852
536,MLP,RandomForest,MISO+residuals,19,0.938,0.747,0.066,0.133,0.887,0.733,0.092,0.141,2.843
436,ExtraTrees,RandomForest,MISO+residuals,12,0.976,0.768,0.041,0.127,0.908,0.732,0.083,0.142,0.242
429,GradientBoosting,MLP,MISO+residuals,12,0.928,0.757,0.071,0.13,0.881,0.732,0.094,0.142,2.606
604,GradientBoosting,KNN,MISO+residuals,20,0.928,0.744,0.071,0.133,0.883,0.732,0.094,0.142,0.845
434,ExtraTrees,KNN,MISO+residuals,12,0.976,0.768,0.041,0.127,0.908,0.732,0.083,0.142,0.175
439,ExtraTrees,MLP,MISO+residuals,12,0.976,0.767,0.041,0.127,0.908,0.732,0.083,0.142,3.747
431,ExtraTrees,LinReg,MISO+residuals,12,0.976,0.77,0.041,0.127,0.91,0.731,0.082,0.142,0.178
435,ExtraTrees,DecisionTree,MISO+residuals,12,0.976,0.768,0.041,0.127,0.907,0.731,0.083,0.142,0.175
605,GradientBoosting,DecisionTree,MISO+residuals,20,0.929,0.746,0.07,0.133,0.885,0.731,0.093,0.142,0.846
437,ExtraTrees,GradientBoosting,MISO+residuals,12,0.976,0.766,0.041,0.128,0.908,0.73,0.083,0.142,0.28
427,GradientBoosting,GradientBoosting,MISO+residuals,12,0.93,0.756,0.07,0.13,0.882,0.73,0.094,0.142,1.245
438,ExtraTrees,ExtraTrees,MISO+residuals,12,0.976,0.766,0.041,0.128,0.908,0.73,0.083,0.142,0.189
433,ExtraTrees,SVM,MISO+residuals,12,0.976,0.766,0.041,0.128,0.907,0.729,0.083,0.142,0.176
606,GradientBoosting,RandomForest,MISO+residuals,20,0.93,0.742,0.07,0.134,0.884,0.729,0.093,0.142,0.915
626,MLP,RandomForest,MISO+residuals,20,0.936,0.739,0.067,0.135,0.885,0.727,0.093,0.143,1.508
178,MLP,ExtraTrees,MISO+residuals,5,0.906,0.743,0.081,0.134,0.859,0.727,0.103,0.143,0.714
603,GradientBoosting,SVM,MISO+residuals,20,0.927,0.739,0.071,0.135,0.882,0.727,0.094,0.143,0.848
176,MLP,RandomForest,MISO+residuals,5,0.917,0.748,0.076,0.132,0.868,0.726,0.099,0.143,0.562
607,GradientBoosting,GradientBoosting,MISO+residuals,20,0.928,0.736,0.071,0.135,0.882,0.724,0.094,0.144,1.834
341,ExtraTrees,LinReg,MISO+residuals,9,0.974,0.771,0.043,0.126,0.904,0.724,0.085,0.144,0.148
343,ExtraTrees,SVM,MISO+residuals,9,0.973,0.768,0.043,0.127,0.905,0.724,0.084,0.144,0.146
609,GradientBoosting,MLP,MISO+residuals,20,0.927,0.736,0.071,0.136,0.882,0.724,0.094,0.144,1.669
346,ExtraTrees,RandomForest,MISO+residuals,9,0.974,0.77,0.042,0.127,0.904,0.724,0.085,0.144,0.215
331,GradientBoosting,LinReg,MISO+residuals,9,0.924,0.743,0.073,0.134,0.881,0.723,0.094,0.144,0.664
608,GradientBoosting,ExtraTrees,MISO+residuals,20,0.926,0.735,0.072,0.136,0.882,0.723,0.094,0.144,1.015
344,ExtraTrees,KNN,MISO+residuals,9,0.974,0.768,0.043,0.127,0.904,0.723,0.085,0.144,0.145
347,ExtraTrees,GradientBoosting,MISO+residuals,9,0.974,0.767,0.043,0.127,0.904,0.722,0.085,0.144,0.165
348,ExtraTrees,ExtraTrees,MISO+residuals,9,0.974,0.767,0.043,0.127,0.905,0.722,0.084,0.144,0.187
349,ExtraTrees,MLP,MISO+residuals,9,0.973,0.767,0.043,0.127,0.904,0.722,0.085,0.144,0.93
595,RandomForest,DecisionTree,MISO+residuals,20,0.934,0.745,0.068,0.133,0.889,0.721,0.091,0.144,0.355
107,PolyReg,GradientBoosting,MISO+residuals,5,0.903,0.735,0.082,0.136,0.865,0.719,0.1,0.145,0.743
596,RandomForest,RandomForest,MISO+residuals,20,0.936,0.744,0.067,0.134,0.89,0.718,0.091,0.145,0.14
335,GradientBoosting,DecisionTree,MISO+residuals,9,0.923,0.74,0.073,0.135,0.879,0.718,0.095,0.145,0.662
345,ExtraTrees,DecisionTree,MISO+residuals,9,0.974,0.765,0.043,0.128,0.904,0.718,0.085,0.145,0.146
594,RandomForest,KNN,MISO+residuals,20,0.933,0.742,0.068,0.134,0.888,0.717,0.092,0.145,0.354
627,MLP,GradientBoosting,MISO+residuals,20,0.917,0.719,0.076,0.14,0.865,0.716,0.1,0.146,1.964
538,MLP,ExtraTrees,MISO+residuals,19,0.931,0.73,0.07,0.137,0.879,0.716,0.095,0.146,2.803
591,RandomForest,LinReg,MISO+residuals,20,0.938,0.748,0.066,0.133,0.887,0.716,0.092,0.146,0.36
62,GradientBoosting,PolyReg,MISO+residuals,4,0.918,0.74,0.076,0.135,0.87,0.715,0.098,0.146,0.587
338,GradientBoosting,ExtraTrees,MISO+residuals,9,0.924,0.735,0.073,0.136,0.881,0.715,0.095,0.146,0.505
61,GradientBoosting,LinReg,MISO+residuals,4,0.916,0.739,0.076,0.135,0.867,0.715,0.1,0.146,0.578
17,PolyReg,GradientBoosting,MISO+residuals,4,0.896,0.728,0.085,0.138,0.851,0.715,0.105,0.146,0.733
593,RandomForest,SVM,MISO+residuals,20,0.932,0.737,0.069,0.135,0.888,0.714,0.092,0.146,0.356
197,PolyReg,GradientBoosting,MISO+residuals,6,0.939,0.736,0.065,0.136,0.886,0.714,0.092,0.146,2.689
339,GradientBoosting,MLP,MISO+residuals,9,0.922,0.733,0.074,0.136,0.88,0.714,0.095,0.146,1.871
599,RandomForest,MLP,MISO+residuals,20,0.933,0.738,0.068,0.135,0.888,0.714,0.092,0.146,1.232
598,RandomForest,ExtraTrees,MISO+residuals,20,0.933,0.736,0.068,0.136,0.888,0.713,0.091,0.147,0.106
334,GradientBoosting,KNN,MISO+residuals,9,0.922,0.732,0.074,0.137,0.88,0.713,0.095,0.147,0.662
336,GradientBoosting,RandomForest,MISO+residuals,9,0.924,0.732,0.073,0.137,0.882,0.712,0.094,0.147,0.725
16,PolyReg,RandomForest,MISO+residuals,4,0.924,0.741,0.073,0.134,0.876,0.712,0.096,0.147,0.516
151,GradientBoosting,LinReg,MISO+residuals,5,0.902,0.746,0.082,0.133,0.865,0.712,0.1,0.147,0.574
232,RandomForest,PolyReg,MISO+residuals,6,0.929,0.743,0.071,0.134,0.873,0.712,0.097,0.147,0.193
597,RandomForest,GradientBoosting,MISO+residuals,20,0.934,0.735,0.068,0.136,0.889,0.711,0.091,0.147,0.554
152,GradientBoosting,PolyReg,MISO+residuals,5,0.906,0.747,0.081,0.133,0.866,0.711,0.1,0.147,0.59
231,RandomForest,LinReg,MISO+residuals,6,0.925,0.74,0.072,0.134,0.879,0.711,0.095,0.147,0.161
242,GradientBoosting,PolyReg,MISO+residuals,6,0.969,0.741,0.046,0.134,0.881,0.71,0.094,0.147,1.376
162,ExtraTrees,PolyReg,MISO+residuals,5,0.94,0.749,0.065,0.132,0.882,0.71,0.094,0.147,0.153
241,GradientBoosting,LinReg,MISO+residuals,6,0.968,0.739,0.047,0.135,0.904,0.708,0.085,0.148,1.344
236,RandomForest,RandomForest,MISO+residuals,6,0.925,0.738,0.072,0.135,0.877,0.708,0.096,0.148,0.14
321,RandomForest,LinReg,MISO+residuals,9,0.957,0.735,0.055,0.136,0.9,0.708,0.086,0.148,0.792
161,ExtraTrees,LinReg,MISO+residuals,5,0.938,0.747,0.066,0.133,0.886,0.707,0.092,0.148,0.134
237,RandomForest,GradientBoosting,MISO+residuals,6,0.931,0.736,0.069,0.136,0.881,0.707,0.094,0.148,1.334
153,GradientBoosting,SVM,MISO+residuals,5,0.896,0.747,0.085,0.133,0.849,0.707,0.106,0.148,0.575
158,GradientBoosting,ExtraTrees,MISO+residuals,5,0.91,0.741,0.079,0.134,0.865,0.706,0.1,0.148,0.273
66,GradientBoosting,RandomForest,MISO+residuals,4,0.918,0.73,0.076,0.137,0.868,0.706,0.099,0.148,0.645
106,PolyReg,RandomForest,MISO+residuals,5,0.898,0.72,0.084,0.14,0.863,0.706,0.101,0.148,0.202
356,MLP,RandomForest,MISO+residuals,9,0.889,0.709,0.088,0.142,0.839,0.705,0.11,0.148,0.61
159,GradientBoosting,MLP,MISO+residuals,5,0.898,0.738,0.084,0.135,0.856,0.705,0.104,0.148,0.865
234,RandomForest,KNN,MISO+residuals,6,0.924,0.734,0.073,0.136,0.876,0.705,0.096,0.148,0.16
325,RandomForest,DecisionTree,MISO+residuals,9,0.957,0.734,0.055,0.136,0.898,0.705,0.088,0.148,0.789
154,GradientBoosting,KNN,MISO+residuals,5,0.896,0.733,0.085,0.136,0.857,0.705,0.103,0.149,0.573
163,ExtraTrees,SVM,MISO+residuals,5,0.935,0.74,0.067,0.134,0.885,0.705,0.093,0.149,0.133
65,GradientBoosting,DecisionTree,MISO+residuals,4,0.915,0.728,0.077,0.138,0.867,0.705,0.1,0.149,0.576
333,GradientBoosting,SVM,MISO+residuals,9,0.918,0.725,0.076,0.138,0.876,0.704,0.096,0.149,0.662
64,GradientBoosting,KNN,MISO+residuals,4,0.916,0.726,0.077,0.138,0.867,0.704,0.1,0.149,0.576
166,ExtraTrees,RandomForest,MISO+residuals,5,0.938,0.745,0.065,0.133,0.885,0.704,0.093,0.149,0.198
239,RandomForest,MLP,MISO+residuals,6,0.923,0.733,0.073,0.136,0.875,0.704,0.097,0.149,2.128
238,RandomForest,ExtraTrees,MISO+residuals,6,0.923,0.732,0.073,0.137,0.876,0.704,0.096,0.149,0.098
233,RandomForest,SVM,MISO+residuals,6,0.921,0.729,0.074,0.137,0.875,0.704,0.097,0.149,0.162
337,GradientBoosting,GradientBoosting,MISO+residuals,9,0.921,0.721,0.074,0.139,0.88,0.704,0.095,0.149,0.986
156,GradientBoosting,RandomForest,MISO+residuals,5,0.912,0.74,0.078,0.135,0.871,0.704,0.098,0.149,0.723
359,MLP,MLP,MISO+residuals,9,0.886,0.706,0.089,0.143,0.838,0.703,0.11,0.149,2.486
63,GradientBoosting,SVM,MISO+residuals,4,0.915,0.726,0.077,0.138,0.867,0.703,0.1,0.149,0.578
326,RandomForest,RandomForest,MISO+residuals,9,0.957,0.73,0.055,0.137,0.899,0.703,0.087,0.149,0.126
355,MLP,DecisionTree,MISO+residuals,9,0.889,0.705,0.088,0.143,0.842,0.703,0.109,0.149,0.547
253,ExtraTrees,SVM,MISO+residuals,6,0.965,0.739,0.049,0.135,0.899,0.703,0.087,0.149,0.129
352,MLP,PolyReg,MISO+residuals,9,0.894,0.703,0.086,0.144,0.816,0.703,0.117,0.149,0.693
244,GradientBoosting,KNN,MISO+residuals,6,0.968,0.732,0.047,0.137,0.904,0.702,0.085,0.149,1.342
324,RandomForest,KNN,MISO+residuals,9,0.956,0.728,0.055,0.138,0.9,0.702,0.087,0.149,0.789
169,ExtraTrees,MLP,MISO+residuals,5,0.937,0.741,0.066,0.134,0.884,0.702,0.093,0.149,0.516
353,MLP,SVM,MISO+residuals,9,0.886,0.705,0.089,0.143,0.837,0.702,0.11,0.149,0.549
354,MLP,KNN,MISO+residuals,9,0.887,0.703,0.089,0.144,0.84,0.702,0.11,0.149,0.547
243,GradientBoosting,SVM,MISO+residuals,6,0.968,0.732,0.047,0.137,0.903,0.702,0.085,0.149,1.343
69,GradientBoosting,MLP,MISO+residuals,4,0.915,0.724,0.077,0.139,0.865,0.702,0.1,0.149,4.15
625,MLP,DecisionTree,MISO+residuals,20,0.859,0.692,0.099,0.146,0.824,0.701,0.115,0.149,0.637
387,SVM,GradientBoosting,MISO+residuals,12,0.908,0.717,0.08,0.14,0.869,0.701,0.099,0.149,0.8
164,ExtraTrees,KNN,MISO+residuals,5,0.937,0.742,0.066,0.134,0.884,0.701,0.093,0.149,0.131
252,ExtraTrees,PolyReg,MISO+residuals,6,0.967,0.743,0.048,0.134,0.893,0.701,0.09,0.149,0.164
327,RandomForest,GradientBoosting,MISO+residuals,9,0.956,0.727,0.055,0.138,0.9,0.701,0.087,0.149,1.374
357,MLP,GradientBoosting,MISO+residuals,9,0.888,0.702,0.088,0.144,0.843,0.701,0.108,0.149,0.845
328,RandomForest,ExtraTrees,MISO+residuals,9,0.956,0.727,0.056,0.138,0.9,0.701,0.087,0.15,0.161
358,MLP,ExtraTrees,MISO+residuals,9,0.887,0.702,0.089,0.144,0.839,0.701,0.11,0.15,0.582
172,MLP,PolyReg,MISO+residuals,5,0.863,0.712,0.098,0.142,0.83,0.701,0.113,0.15,0.405
67,GradientBoosting,GradientBoosting,MISO+residuals,4,0.916,0.723,0.076,0.139,0.867,0.701,0.1,0.15,0.567
165,ExtraTrees,DecisionTree,MISO+residuals,5,0.937,0.741,0.066,0.134,0.884,0.701,0.093,0.15,0.131
179,MLP,MLP,MISO+residuals,5,0.862,0.712,0.098,0.142,0.828,0.701,0.114,0.15,3.981
329,RandomForest,MLP,MISO+residuals,9,0.956,0.726,0.056,0.138,0.899,0.701,0.087,0.15,1.975
251,ExtraTrees,LinReg,MISO+residuals,6,0.967,0.742,0.048,0.134,0.897,0.7,0.088,0.15,0.131
168,ExtraTrees,ExtraTrees,MISO+residuals,5,0.937,0.74,0.066,0.134,0.884,0.7,0.093,0.15,0.189
174,MLP,KNN,MISO+residuals,5,0.863,0.714,0.098,0.141,0.828,0.7,0.113,0.15,0.386
68,GradientBoosting,ExtraTrees,MISO+residuals,4,0.914,0.722,0.077,0.139,0.866,0.7,0.1,0.15,0.379
171,MLP,LinReg,MISO+residuals,5,0.862,0.711,0.098,0.142,0.828,0.7,0.113,0.15,0.388
246,GradientBoosting,RandomForest,MISO+residuals,6,0.969,0.73,0.047,0.137,0.904,0.7,0.085,0.15,1.408
173,MLP,SVM,MISO+residuals,5,0.859,0.715,0.099,0.141,0.822,0.7,0.115,0.15,0.388
157,GradientBoosting,GradientBoosting,MISO+residuals,5,0.911,0.734,0.079,0.136,0.866,0.699,0.1,0.15,0.396
351,MLP,LinReg,MISO+residuals,9,0.888,0.703,0.088,0.144,0.841,0.699,0.109,0.15,0.551
323,RandomForest,SVM,MISO+residuals,9,0.954,0.725,0.056,0.138,0.897,0.699,0.088,0.15,0.79
245,GradientBoosting,DecisionTree,MISO+residuals,6,0.968,0.73,0.047,0.137,0.903,0.699,0.085,0.15,1.342
198,PolyReg,ExtraTrees,MISO+residuals,6,0.904,0.715,0.082,0.141,0.865,0.699,0.1,0.15,0.526
249,GradientBoosting,MLP,MISO+residuals,6,0.967,0.729,0.048,0.137,0.902,0.699,0.085,0.15,0.675
256,ExtraTrees,RandomForest,MISO+residuals,6,0.967,0.74,0.048,0.135,0.898,0.699,0.087,0.15,0.191
247,GradientBoosting,GradientBoosting,MISO+residuals,6,0.967,0.728,0.048,0.138,0.903,0.698,0.085,0.15,0.037
248,GradientBoosting,ExtraTrees,MISO+residuals,6,0.967,0.728,0.048,0.138,0.903,0.698,0.085,0.15,0.042
506,RandomForest,RandomForest,MISO+residuals,19,0.963,0.719,0.051,0.14,0.908,0.698,0.083,0.15,0.5
254,ExtraTrees,KNN,MISO+residuals,6,0.967,0.738,0.048,0.135,0.898,0.698,0.087,0.15,0.128
259,ExtraTrees,MLP,MISO+residuals,6,0.966,0.738,0.048,0.135,0.898,0.698,0.087,0.15,3.977
142,RandomForest,PolyReg,MISO+residuals,5,0.924,0.726,0.073,0.138,0.878,0.697,0.095,0.15,0.173
167,ExtraTrees,GradientBoosting,MISO+residuals,5,0.937,0.738,0.066,0.135,0.885,0.697,0.093,0.15,0.355
257,ExtraTrees,GradientBoosting,MISO+residuals,6,0.967,0.737,0.048,0.135,0.898,0.697,0.087,0.151,0.213
258,ExtraTrees,ExtraTrees,MISO+residuals,6,0.966,0.737,0.048,0.135,0.898,0.697,0.087,0.151,0.194
108,PolyReg,ExtraTrees,MISO+residuals,5,0.903,0.707,0.082,0.143,0.865,0.697,0.1,0.151,0.434
297,SVM,GradientBoosting,MISO+residuals,9,0.915,0.715,0.077,0.141,0.87,0.696,0.099,0.151,0.784
175,MLP,DecisionTree,MISO+residuals,5,0.863,0.7,0.098,0.144,0.83,0.696,0.113,0.151,0.386
255,ExtraTrees,DecisionTree,MISO+residuals,6,0.967,0.735,0.048,0.136,0.897,0.696,0.088,0.151,0.129
196,PolyReg,RandomForest,MISO+residuals,6,0.905,0.706,0.081,0.143,0.866,0.696,0.1,0.151,0.332
446,MLP,RandomForest,MISO+residuals,12,0.91,0.698,0.079,0.145,0.86,0.695,0.102,0.151,2.366
146,RandomForest,RandomForest,MISO+residuals,5,0.924,0.727,0.073,0.138,0.879,0.695,0.095,0.151,0.047
444,MLP,KNN,MISO+residuals,12,0.908,0.697,0.08,0.145,0.859,0.695,0.103,0.151,2.298
141,RandomForest,LinReg,MISO+residuals,5,0.92,0.722,0.074,0.139,0.879,0.694,0.095,0.151,0.152
445,MLP,DecisionTree,MISO+residuals,12,0.908,0.697,0.08,0.145,0.859,0.694,0.103,0.151,2.299
441,MLP,LinReg,MISO+residuals,12,0.908,0.698,0.08,0.145,0.859,0.694,0.103,0.151,2.302
504,RandomForest,KNN,MISO+residuals,19,0.959,0.713,0.053,0.141,0.905,0.694,0.084,0.151,1.559
155,GradientBoosting,DecisionTree,MISO+residuals,5,0.896,0.725,0.085,0.138,0.856,0.694,0.104,0.151,0.572
443,MLP,SVM,MISO+residuals,12,0.907,0.697,0.08,0.145,0.858,0.694,0.103,0.151,2.301
449,MLP,MLP,MISO+residuals,12,0.908,0.696,0.08,0.146,0.859,0.693,0.103,0.151,1.223
411,RandomForest,LinReg,MISO+residuals,12,0.944,0.72,0.062,0.14,0.893,0.693,0.09,0.151,0.966
501,RandomForest,LinReg,MISO+residuals,19,0.961,0.719,0.052,0.14,0.904,0.693,0.085,0.151,1.565
262,MLP,PolyReg,MISO+residuals,6,0.9,0.723,0.083,0.139,0.853,0.692,0.105,0.152,0.57
505,RandomForest,DecisionTree,MISO+residuals,19,0.959,0.71,0.053,0.142,0.906,0.692,0.084,0.152,1.559
447,MLP,GradientBoosting,MISO+residuals,12,0.908,0.694,0.08,0.146,0.86,0.692,0.102,0.152,2.611
149,RandomForest,MLP,MISO+residuals,5,0.919,0.721,0.075,0.139,0.874,0.692,0.097,0.152,0.694
87,MLP,GradientBoosting,MISO+residuals,4,0.897,0.707,0.085,0.143,0.859,0.692,0.103,0.152,1.836
503,RandomForest,SVM,MISO+residuals,19,0.959,0.709,0.054,0.142,0.906,0.691,0.084,0.152,1.56
509,RandomForest,MLP,MISO+residuals,19,0.959,0.709,0.054,0.142,0.906,0.691,0.084,0.152,1.738
147,RandomForest,GradientBoosting,MISO+residuals,5,0.926,0.72,0.072,0.14,0.88,0.691,0.095,0.152,1.13
624,MLP,KNN,MISO+residuals,20,0.857,0.682,0.1,0.149,0.818,0.691,0.117,0.152,0.636
507,RandomForest,GradientBoosting,MISO+residuals,19,0.959,0.71,0.053,0.142,0.906,0.691,0.084,0.152,1.283
629,MLP,MLP,MISO+residuals,20,0.857,0.682,0.1,0.149,0.818,0.691,0.117,0.152,1.075
623,MLP,SVM,MISO+residuals,20,0.857,0.682,0.1,0.149,0.818,0.691,0.117,0.152,0.639
265,MLP,DecisionTree,MISO+residuals,6,0.899,0.723,0.084,0.139,0.855,0.69,0.104,0.152,0.527
144,RandomForest,KNN,MISO+residuals,5,0.919,0.717,0.075,0.14,0.875,0.69,0.097,0.152,0.151
508,RandomForest,ExtraTrees,MISO+residuals,19,0.959,0.709,0.053,0.142,0.906,0.69,0.084,0.152,0.348
266,MLP,RandomForest,MISO+residuals,6,0.899,0.724,0.084,0.139,0.853,0.69,0.105,0.152,0.591
269,MLP,MLP,MISO+residuals,6,0.897,0.722,0.084,0.139,0.852,0.69,0.105,0.152,4.236
18,PolyReg,ExtraTrees,MISO+residuals,4,0.884,0.691,0.09,0.147,0.854,0.689,0.105,0.152,0.213
235,RandomForest,DecisionTree,MISO+residuals,6,0.928,0.711,0.071,0.142,0.88,0.689,0.095,0.152,0.16
267,MLP,GradientBoosting,MISO+residuals,6,0.898,0.723,0.084,0.139,0.852,0.689,0.105,0.153,1.05
261,MLP,LinReg,MISO+residuals,6,0.898,0.722,0.084,0.139,0.855,0.689,0.104,0.153,0.528
415,RandomForest,DecisionTree,MISO+residuals,12,0.943,0.714,0.063,0.141,0.893,0.688,0.09,0.153,0.963
263,MLP,SVM,MISO+residuals,6,0.898,0.723,0.084,0.139,0.852,0.688,0.105,0.153,0.528
388,SVM,ExtraTrees,MISO+residuals,12,0.914,0.706,0.078,0.143,0.871,0.688,0.098,0.153,1.031
534,MLP,KNN,MISO+residuals,19,1.0,0.678,0.0,0.15,0.916,0.688,0.079,0.153,1.058
448,MLP,ExtraTrees,MISO+residuals,12,0.908,0.69,0.08,0.147,0.86,0.688,0.102,0.153,2.328
145,RandomForest,DecisionTree,MISO+residuals,5,0.918,0.715,0.076,0.141,0.875,0.687,0.097,0.153,0.151
148,RandomForest,ExtraTrees,MISO+residuals,5,0.918,0.715,0.076,0.141,0.874,0.687,0.097,0.153,0.057
614,ExtraTrees,KNN,MISO+residuals,20,0.926,0.714,0.072,0.141,0.874,0.687,0.097,0.153,1.592
268,MLP,ExtraTrees,MISO+residuals,6,0.898,0.721,0.084,0.139,0.853,0.687,0.105,0.153,0.554
588,DecisionTree,ExtraTrees,MISO+residuals,20,0.907,0.697,0.081,0.145,0.839,0.687,0.11,0.153,1.897
143,RandomForest,SVM,MISO+residuals,5,0.916,0.711,0.076,0.142,0.874,0.686,0.097,0.153,0.152
628,MLP,ExtraTrees,MISO+residuals,20,0.876,0.679,0.093,0.149,0.842,0.686,0.109,0.153,1.166
414,RandomForest,KNN,MISO+residuals,12,0.942,0.71,0.063,0.142,0.893,0.686,0.09,0.153,0.963
621,MLP,LinReg,MISO+residuals,20,0.872,0.684,0.094,0.148,0.837,0.686,0.11,0.153,0.644
264,MLP,KNN,MISO+residuals,6,0.898,0.722,0.084,0.139,0.852,0.685,0.105,0.153,0.526
416,RandomForest,RandomForest,MISO+residuals,12,0.943,0.71,0.063,0.142,0.894,0.685,0.089,0.153,0.136
386,SVM,RandomForest,MISO+residuals,12,0.906,0.696,0.081,0.145,0.866,0.684,0.1,0.154,0.342
613,ExtraTrees,SVM,MISO+residuals,20,0.926,0.712,0.072,0.142,0.873,0.684,0.097,0.154,1.594
611,ExtraTrees,LinReg,MISO+residuals,20,0.932,0.722,0.069,0.139,0.872,0.683,0.098,0.154,1.598
616,ExtraTrees,RandomForest,MISO+residuals,20,0.928,0.71,0.071,0.142,0.876,0.682,0.096,0.154,1.66
287,PolyReg,GradientBoosting,MISO+residuals,9,0.94,0.697,0.064,0.145,0.886,0.682,0.092,0.154,3.267
417,RandomForest,GradientBoosting,MISO+residuals,12,0.942,0.707,0.063,0.143,0.893,0.682,0.089,0.154,0.806
419,RandomForest,MLP,MISO+residuals,12,0.942,0.707,0.064,0.143,0.893,0.682,0.09,0.154,0.646
413,RandomForest,SVM,MISO+residuals,12,0.942,0.706,0.064,0.143,0.893,0.682,0.09,0.154,0.964
418,RandomForest,ExtraTrees,MISO+residuals,12,0.942,0.706,0.063,0.143,0.893,0.682,0.09,0.154,0.103
535,MLP,DecisionTree,MISO+residuals,19,0.822,0.676,0.111,0.15,0.795,0.681,0.124,0.154,1.058
615,ExtraTrees,DecisionTree,MISO+residuals,20,0.928,0.71,0.071,0.142,0.875,0.681,0.097,0.155,1.593
618,ExtraTrees,ExtraTrees,MISO+residuals,20,0.927,0.708,0.071,0.143,0.874,0.68,0.097,0.155,0.143
72,ExtraTrees,PolyReg,MISO+residuals,4,0.922,0.722,0.074,0.139,0.869,0.679,0.099,0.155,0.046
52,RandomForest,PolyReg,MISO+residuals,4,0.914,0.695,0.077,0.146,0.868,0.678,0.099,0.155,0.269
51,RandomForest,LinReg,MISO+residuals,4,0.911,0.693,0.079,0.146,0.868,0.677,0.099,0.155,0.258
533,MLP,SVM,MISO+residuals,19,0.812,0.665,0.114,0.153,0.792,0.677,0.125,0.155,1.063
286,PolyReg,RandomForest,MISO+residuals,9,0.904,0.694,0.082,0.146,0.864,0.677,0.101,0.156,0.545
573,KNN,SVM,MISO+residuals,20,1.0,0.722,0.0,0.139,0.893,0.676,0.09,0.156,0.006
579,KNN,MLP,MISO+residuals,20,1.0,0.722,0.0,0.139,0.893,0.676,0.09,0.156,1.149
574,KNN,KNN,MISO+residuals,20,1.0,0.722,0.0,0.139,0.893,0.676,0.09,0.156,0.001
576,KNN,RandomForest,MISO+residuals,20,1.0,0.722,0.0,0.139,0.893,0.676,0.09,0.156,0.096
571,KNN,LinReg,MISO+residuals,20,1.0,0.722,0.0,0.139,0.9,0.676,0.087,0.156,0.007
575,KNN,DecisionTree,MISO+residuals,20,1.0,0.722,0.0,0.139,0.893,0.676,0.09,0.156,0.001
577,KNN,GradientBoosting,MISO+residuals,20,1.0,0.722,0.0,0.139,0.893,0.676,0.09,0.156,0.427
578,KNN,ExtraTrees,MISO+residuals,20,1.0,0.722,0.0,0.139,0.893,0.676,0.09,0.156,0.328
71,ExtraTrees,LinReg,MISO+residuals,4,0.92,0.719,0.075,0.14,0.874,0.676,0.097,0.156,0.035
617,ExtraTrees,GradientBoosting,MISO+residuals,20,0.926,0.702,0.072,0.144,0.874,0.675,0.097,0.156,1.772
489,KNN,MLP,MISO+residuals,19,1.0,0.713,0.0,0.141,0.888,0.675,0.091,0.156,1.558
483,KNN,SVM,MISO+residuals,19,1.0,0.713,0.0,0.141,0.888,0.675,0.091,0.156,0.006
